subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
HP:0410362	en	fr	rdfs:label	Decreased O-mannosyl glycans on alpha-dystroglycan	AUTOMATIC	Decreased O-mannosyl glycans on alpha-dystroglycan
HP:0410363	en	fr	rdfs:label	Increased monosialylated core 1 O-glycan level	AUTOMATIC	Increased monosialylated core 1 O-glycan level
HP:0410364	en	fr	rdfs:label	Decreased monosialylated core 1 O-glycan level	AUTOMATIC	Decreased monosialylated core 1 O-glycan level
HP:0410365	en	fr	rdfs:label	Increased disialylated core 1 O-glycan level	AUTOMATIC	Increased disialylated core 1 O-glycan level
HP:0410366	en	fr	rdfs:label	Increased globoside Gb4 level	AUTOMATIC	Increased globoside Gb4 level
HP:0410367	en	fr	rdfs:label	Increased hepatitis A virus antibody level	AUTOMATIC	Increased hepatitis A virus antibody level
HP:0410368	en	fr	rdfs:label	Increased globoside Gb3 level	AUTOMATIC	Increased globoside Gb3 level
HP:0410369	en	fr	rdfs:label	Increased hepatitis B virus antibody level	AUTOMATIC	Increased hepatitis B virus antibody level
HP:0410370	en	fr	rdfs:label	Absence of ganglioside GM3	AUTOMATIC	Absence of ganglioside GM3
HP:0410371	en	fr	rdfs:label	Increased hepatitis C virus antibody level	AUTOMATIC	Increased hepatitis C virus antibody level
HP:0410372	en	fr	rdfs:label	Increased Tn-antigen level	AUTOMATIC	Increased Tn-antigen level
HP:0410373	en	fr	rdfs:label	Abnormal naive CD4+ T cell proportion	AUTOMATIC	Abnormal naive CD4+ T cell proportion
HP:0410374	en	fr	rdfs:label	Abnormal naive CD8+ T cell proportion	AUTOMATIC	Abnormal naive CD8+ T cell proportion
HP:0410375	en	fr	rdfs:label	Increased naive CD4+ T cell proportion	AUTOMATIC	Increased naive CD4+ T cell proportion
HP:0410376	en	fr	rdfs:label	Increased naive CD8+ T cell proportion	AUTOMATIC	Increased naive CD8+ T cell proportion
HP:0410377	en	fr	rdfs:label	Decreased naive CD8+ T cell proportion	AUTOMATIC	Decreased naive CD8+ T cell proportion
HP:0410378	en	fr	rdfs:label	Decreased naive CD4+ T cell proportion	AUTOMATIC	Decreased naive CD4+ T cell proportion
HP:0410379	en	fr	rdfs:label	Abnormal CD4+ memory T cell proportion	AUTOMATIC	Abnormal CD4+ memory T cell proportion
HP:0410380	en	fr	rdfs:label	Abnormal memory CD8+ T cell proportion	AUTOMATIC	Abnormal memory CD8+ T cell proportion
HP:0410383	en	fr	rdfs:label	Abnormal effector memory CD8+ T cell proportion	AUTOMATIC	Abnormal effector memory CD8+ T cell proportion
HP:0410384	en	fr	rdfs:label	Abnormal central memory CD8+ T cell proportion	AUTOMATIC	Abnormal central memory CD8+ T cell proportion
HP:0410385	en	fr	rdfs:label	Decreased CD8+ memory T cell proportion	AUTOMATIC	Decreased CD8+ memory T cell proportion
HP:0410386	en	fr	rdfs:label	Decreased CD4+ memory T cell proportion	AUTOMATIC	Decreased CD4+ memory T cell proportion
HP:0410388	en	fr	rdfs:label	Decreased proportion of central memory CD4-positive T cells	AUTOMATIC	Decreased proportion of central memory CD4-positive T cells
